MARZ,CATEGORY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gegharkunik  Marz,Per capita trade turnover compared to average republican(%),12.8,17,13.9,15.1,14.4,12.2,12.7,16.2,19,21.3,21.5,22.2
Lori  Marz,"Number of retail trade organizations, total (unit)",1169,1148,1158,1184,1142,1145,1103,1046,939,1002,1010,844
Lori  Marz,"Retail trade turnover, total (ths. drams)",17598.3,19207.2,21083.7,21797.8,23330.3,24752.4,23257.6,23281.5,22607.1,47165.6,46265.8,44635.8
Lori  Marz,number of shops(unit),348,342,326,366,323,318,315,297,271,324,331,304
Lori  Marz,trade turnover of shops(ths. drams),4819.8,5991.6,7647.5,8604.1,8597.7,9405.5,8482.2,8626.5,9387.1,11696.5,14883.2,20052.8
Lori  Marz,number of consumer goods markets(unit),4,4,4,4,3,3,3,3,3,3,3,3
Lori  Marz, rade turnover of consumer goods markets(ths. drams),5398.6,4629.6,3671.9,2189,2193.8,2552.2,2234.9,2595.7,2815.9,2607.1,2619.8,1756.7
Lori  Marz,number of agricultural products markets(unit),4,4,2,2,2,2,2,2,2,2,2,2
Lori  Marz,trade turnover of agricultural products markets(ths. drams),1509.5,1084.4,1172.3,611.3,447.9,488.4,456.6,527.4,688.5,688.5,703.5,685.2
Lori  Marz,number of kioks(unit),784,741,765,749,750,757,721,691,623,594,597,459
Lori  Marz,trade turnover of kioks(ths. drams),4724.4,5412.3,5265,5196.5,5321.4,5112.9,5191,4864.8,4759.5,4510.5,4339.6,4000.8
Lori  Marz,number of other trade units(unit),29,57,61,63,64,65,62,53,40,79,77,76
Lori  Marz,trade turnover of other trade units(ths. drams),1146,2089.3,3327,5196.9,6769.5,7193.4,6892.9,6667.1,4956.1,27663,23719.7,18140.3
Lori  Marz,Average per capita trade turnover(drams),62162.8,628038.3,74791.4,77379.5,96406.2,104308.5,98884.4,100049.4,98548.8,208236.6,207470,203630.5
Lori  Marz,Per capita trade turnover compared to average republican(%),24.4,23.5,22.8,23.6,25.3,24.3,21.7,20.8,20.3,47.6,49.9,45.4
Kotayk  Marz,"Number of retail trade organizations, total (unit)",1253,1345,1448,1618,1635,1587,1545,1347,1193,1148,1147,1162
Kotayk  Marz,"Retail trade turnover, total (ths. drams)",23847.3,25138.2,28729.2,30993.2,33616.9,36360.9,39729.6,45496.7,42006.7,45784.8,64536.7,61991.7
Kotayk  Marz,number of shops(unit),353,436,535,711,747,792,841,804,854,909,901,955
Kotayk  Marz,trade turnover of shops(ths. drams),8731.3,9129.1,11532.3,16054,20445.8,21099.8,19606.5,27537.2,26495.1,27628.8,29524.4,34263.2
Kotayk  Marz,number of consumer goods markets(unit),7,7,7,5,6,5,5,5,4,5,3,3
Kotayk  Marz, rade turnover of consumer goods markets(ths. drams),1782.5,2068,2737.6,940.1,993.6,1036.3,1508.7,1090.7,994,2662.6,21900.1,12098
Kotayk  Marz,number of agricultural products markets(unit),4,4,3,3,3,3,2,2,2,2,2,2
Kotayk  Marz,trade turnover of agricultural products markets(ths. drams),201.2,258.7,228.8,356.8,432,523.3,235.9,232.7,57.7,36.4,36,34.3
Kotayk  Marz,number of kioks(unit),844,845,852,848,826,735,645,484,280,153,163,128
Kotayk  Marz,trade turnover of kioks(ths. drams),2975.3,2928.6,3206.3,3150.3,3262,3089.2,2856.3,2559.5,1501.8,1272.1,1015,1025.1
Kotayk  Marz,number of other trade units(unit),45,53,51,51,53,52,52,52,53,79,78,74
Kotayk  Marz,trade turnover of other trade units(ths. drams),10157,10753.8,11024.2,10492,8483.5,10612.3,15522.2,14076.6,12958.1,14184.9,12061.2,14571.1
Kotayk  Marz,Average per capita trade turnover(drams),86528.7,90751.6,103231,110808.7,130957.9,142480,155802.4,178278.6,164732.2,179901,254683.1,245803.7
Kotayk  Marz,Per capita trade turnover compared to average republican(%),34,31.3,31.5,33.7,34.3,33.1,34.2,37.1,33.9,41.1,61.3,54.8
Shirak  Marz,"Number of retail trade organizations, total (unit)",839,873,1002,982,1017,1029,950,1031,1092,1247,1196,1207
Shirak  Marz,"Retail trade turnover, total (ths. drams)",14809.2,18534.6,25435.1,23798.7,29852.9,40514.8,33416.2,28591,37317.8,46525.2,46605.2,51500.4
Shirak  Marz,number of shops(unit),442,473,609,592,611,582,494,599,674,841,910,939
Shirak  Marz,trade turnover of shops(ths. drams),5639.8,8025.4,14451.3,14958.6,19805.1,28449.3,20795.1,16331.9,21479.9,27466,30605.8,33251
Shirak  Marz,number of consumer goods markets(unit),8,12,12,8,4,4,4,6,5,5,3,3
Shirak  Marz, rade turnover of consumer goods markets(ths. drams),2152.4,2549.6,2410.8,1294.4,760,818.7,1483.8,1520.1,1575.7,1183.3,1755.3,1516.3
Shirak  Marz,number of agricultural products markets(unit),2,2,2,2,2,2,2,2,2,2,2,2
Shirak  Marz,trade turnover of agricultural products markets(ths. drams),4375.9,5251.4,5235.8,4154.8,5654.8,3692.7,3165.6,3121.3,3722.9,3956.6,2856.4,3443.7
Shirak  Marz,number of kioks(unit),359,358,349,349,361,402,406,386,374,329,212,190
